,HomePlanet,CryoSleep,Deck,RoomNum,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
38,Earth,False,F,8.0,S,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False
39,Earth,False,F,10.0,S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False
40,Earth,True,G,1.0,P,55 Cancri e,30.0,False,0.0,0.0,173.72916912197996,0.0,0.0,False
41,Earth,True,G,2.0,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True
42,Europa,False,B,3.0,P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False
43,Earth,True,G,3.0,P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False
44,Earth,True,G,3.0,P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True
45,Earth,True,G,3.0,P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True
46,Mars,False,F,10.0,P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False
47,Mars,True,F,10.0,P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
48,Earth,False,E,1.0,S,55 Cancri e,35.0,False,790.0,0.0,0.0,311.1387779083431,0.0,False
49,Earth,False,E,2.0,S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False
50,Earth,False,G,6.0,S,TRAPPIST-1e,28.82793046746535,False,4.0,0.0,2.0,4683.0,0.0,False
51,Earth,False,F,11.0,S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True
52,Europa,False,A,1.0,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
53,Europa,True,A,1.0,S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True
54,Europa,False,A,1.0,S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True
55,Earth,True,G,7.0,S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False
56,Earth,False,F,12.0,S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False
57,Earth,False,F,13.0,S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False
58,Mars,True,F,14.0,S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
59,Mars,True,E,3.0,S,TRAPPIST-1e,33.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
60,Earth,False,G,6.0,P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False
61,Earth,True,G,10.0,S,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True
62,Earth,False,G,10.0,S,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True
63,Earth,False,F,15.0,S,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False
64,Mars,False,E,4.0,S,TRAPPIST-1e,28.82793046746535,False,793.0,0.0,2.0,253.0,0.0,False
65,Earth,False,F,16.0,S,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True
66,Earth,False,F,13.0,P,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False
67,Earth,False,F,14.0,P,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False
68,Earth,False,F,17.0,S,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False
69,Mars,False,D,3.0,P,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False
70,Europa,False,C,3.0,S,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True
71,Mars,False,F,18.0,S,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True
72,Mars,False,F,15.0,P,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True
73,Europa,False,C,4.0,S,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False
74,Earth,True,G,13.0,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False
75,Mars,False,F,16.0,P,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False
76,Mars,True,F,16.0,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
77,Mars,False,F,16.0,P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True
78,Earth,False,G,14.0,S,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True
79,Europa,True,C,5.0,S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True
80,Earth,False,F,17.0,P,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False
81,Mars,True,E,5.0,S,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True
82,Earth,True,G,15.0,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
83,Earth,True,G,16.0,S,TRAPPIST-1e,26.0,False,224.687617481203,0.0,0.0,0.0,0.0,True
84,Earth,False,F,20.0,S,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False
85,Earth,False,G,9.0,P,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False
86,Earth,True,G,9.0,P,TRAPPIST-1e,0.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
87,Earth,True,G,9.0,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True
88,Europa,False,A,2.0,S,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False
89,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False
90,Earth,False,G,11.0,P,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True
91,Earth,False,F,19.0,P,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False
92,Earth,False,G,12.0,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
93,Mars,True,G,600.3676712973864,P,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True
94,Earth,False,F,23.0,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False
95,Earth,False,F,24.0,S,TRAPPIST-1e,24.0,False,0.0,458.07720329024676,0.0,0.0,17.0,True
96,Earth,True,G,18.0,S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True
97,Earth,True,G,18.0,S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False
98,Earth,True,F,21.0,P,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,False
99,Mars,False,D,2.0,S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,False
100,Earth,True,G,19.0,S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,False
101,Earth,False,G,19.0,S,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,False
102,Earth,False,G,19.0,S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
103,Europa,False,G,600.3676712973864,S,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,False
104,Europa,False,B,5.0,P,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,False
105,Europa,False,B,5.0,P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,True
106,Europa,True,B,5.0,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
107,Europa,True,E,6.0,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,True
108,Europa,False,B,1.0,S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,True
109,Earth,False,F,23.0,P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,True
110,Earth,False,G,20.0,S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,False
111,Mars,False,F,24.0,P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,304.8547912992357,True
112,Europa,False,D,4.0,P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,True
113,Europa,False,A,0.0,P,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,False
114,Europa,True,A,0.0,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
115,Mars,True,F,25.0,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,304.8547912992357,True
116,Earth,False,G,21.0,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,False
117,Earth,False,F,27.0,P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,False
118,Mars,True,F,27.0,S,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,True
119,Mars,False,E,7.0,S,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,False
120,Mars,False,D,3.0,S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,False
121,Mars,False,E,8.0,S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,False
122,Earth,True,G,22.0,S,PSO J318.5-22,22.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
123,Mars,True,F,29.0,S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
124,Mars,False,D,5.0,S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,False
125,Earth,False,G,17.0,P,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,True
126,Earth,False,G,23.0,S,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,False
127,Earth,True,G,18.0,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
128,Earth,False,E,5.0,P,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,False
129,Europa,True,C,6.0,S,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
130,Earth,True,G,19.0,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
131,Earth,False,F,29.0,P,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,False
132,Mars,False,F,30.0,P,TRAPPIST-1e,31.0,False,224.687617481203,0.0,97.0,0.0,0.0,False
133,Earth,False,F,31.0,S,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,True
134,Earth,False,G,25.0,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,False
135,Earth,True,G,26.0,S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,True
136,Mars,False,F,31.0,P,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,False
137,Earth,True,G,27.0,S,55 Cancri e,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,True
138,Earth,True,G,20.0,P,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,False
139,Earth,False,F,32.0,P,55 Cancri e,41.0,False,0.0,0.0,0.0,0.0,607.0,False
140,Earth,False,G,22.0,P,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,False
141,Europa,True,B,8.0,P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True
142,Europa,True,B,8.0,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True
143,Earth,False,G,28.0,S,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,311.1387779083431,135.0,True
144,Earth,True,G,28.0,S,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,False
145,Mars,True,F,37.0,P,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
146,Mars,True,F,35.0,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,True
147,Mars,False,F,35.0,S,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,False
148,Earth,True,G,23.0,P,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False
149,Earth,False,E,10.0,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,False
150,Earth,True,G,30.0,S,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,True
151,Earth,True,G,24.0,P,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,True
152,Earth,True,E,11.0,S,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,True
153,Earth,False,F,38.0,P,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,False
154,Europa,False,B,2.0,S,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,False
155,Mars,False,D,6.0,S,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,False
156,Earth,False,G,26.0,P,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,True
157,Earth,False,G,26.0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,False
158,Earth,False,G,26.0,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True
159,Earth,False,G,27.0,P,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,False
160,Europa,True,C,3.0,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
161,Earth,False,F,36.0,S,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,True
162,Earth,False,G,28.0,P,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,False
163,Earth,True,G,31.0,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,True
164,Earth,False,E,8.0,P,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,False
165,Earth,True,G,32.0,S,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,False
166,Earth,True,G,29.0,P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,True
167,Earth,False,G,29.0,P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,False
168,Earth,False,G,29.0,P,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,False
169,Mars,True,F,41.0,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
170,Mars,False,F,41.0,P,TRAPPIST-1e,23.0,False,224.687617481203,0.0,8.0,1072.0,0.0,False
171,Mars,False,F,41.0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
172,Mars,False,F,42.0,P,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,True
173,Mars,False,D,5.0,P,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,False
174,Europa,False,C,5.0,P,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,False
175,Earth,False,G,30.0,P,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,True
176,Earth,True,G,33.0,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,False
177,Earth,True,G,31.0,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
178,Europa,True,B,3.0,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
179,Europa,True,B,3.0,S,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,True
180,Europa,True,B,9.0,P,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,True
181,Europa,False,A,2.0,P,55 Cancri e,28.82793046746535,False,0.0,2433.0,173.72916912197996,878.0,443.0,True
182,Europa,True,C,8.0,S,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,True
183,Earth,False,G,34.0,S,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,False
184,Europa,False,C,9.0,S,55 Cancri e,28.82793046746535,False,2.0,1720.0,12.0,1125.0,122.0,True
185,Earth,True,G,32.0,P,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,False
186,Earth,True,D,6.0,P,55 Cancri e,24.0,False,0.0,0.0,173.72916912197996,0.0,0.0,True
187,Mars,False,F,44.0,P,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,True
188,Mars,True,F,44.0,P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,True
189,Mars,False,F,44.0,P,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,False
190,Earth,False,E,9.0,P,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,False
191,Earth,False,F,45.0,P,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,False
192,Earth,False,F,46.0,P,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,False
193,Earth,False,F,40.0,S,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,False
194,Earth,False,F,47.0,P,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,False
195,Earth,True,G,36.0,P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True
196,Earth,True,G,37.0,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True
197,Earth,False,G,37.0,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True
198,Earth,True,G,37.0,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False
199,Earth,False,E,10.0,P,TRAPPIST-1e,25.0,False,122.0,84.0,173.72916912197996,0.0,0.0,False
200,Earth,False,F,48.0,P,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,False
201,Earth,False,G,37.0,P,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,False
202,Earth,True,G,37.0,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True
203,Mars,False,E,13.0,S,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,False
204,Mars,False,E,13.0,S,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,False
205,Mars,False,E,13.0,S,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,False
206,Mars,True,E,13.0,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,True
207,Mars,False,E,13.0,S,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,False
208,Mars,False,E,13.0,S,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,False
209,Mars,True,E,13.0,S,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,False
210,Mars,False,F,41.0,S,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,False
211,Mars,True,F,41.0,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
212,Mars,True,E,14.0,S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,True
213,Earth,False,G,35.0,S,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,False
214,Mars,False,F,42.0,S,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,False
215,Earth,True,G,38.0,P,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,True
216,Earth,False,F,43.0,S,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,False
217,Mars,False,F,44.0,S,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,False
218,Earth,True,G,36.0,S,PSO J318.5-22,27.0,False,0.0,458.07720329024676,0.0,0.0,0.0,False
219,Mars,False,F,45.0,S,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,False
220,Earth,False,F,50.0,P,TRAPPIST-1e,43.0,False,224.687617481203,888.0,0.0,0.0,0.0,False
221,Europa,True,B,11.0,P,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,True
222,Mars,False,B,600.3676712973864,P,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,False
223,Mars,True,F,52.0,P,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True
224,Europa,True,E,11.0,P,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,False
225,Europa,False,F,46.0,S,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,False
226,Earth,True,G,37.0,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,False
227,Mars,True,G,600.3676712973864,S,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,True
228,Mars,True,F,47.0,S,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True
229,Europa,False,C,6.0,P,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,True
230,Europa,False,C,6.0,P,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,False
231,Mars,False,D,8.0,P,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,False
232,Europa,False,C,10.0,S,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,False
233,Earth,True,G,38.0,S,PSO J318.5-22,47.0,False,224.687617481203,0.0,0.0,0.0,0.0,False
234,Earth,True,C,11.0,S,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,True
235,Earth,False,F,53.0,P,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,False
236,Earth,False,G,42.0,P,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,False
237,Earth,False,F,54.0,P,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,True
238,Europa,True,A,3.0,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,True
239,Mars,False,F,49.0,S,55 Cancri e,21.0,False,1664.0,0.0,173.72916912197996,0.0,0.0,False
240,Mars,True,F,49.0,S,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,True
241,Earth,False,F,50.0,S,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,False
242,Europa,False,E,16.0,S,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,False
243,Earth,False,F,56.0,P,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,False
244,Earth,True,G,43.0,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True
245,Europa,True,D,8.0,S,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,311.1387779083431,0.0,True
246,Earth,False,F,51.0,S,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,False
247,Earth,False,F,52.0,S,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,True
248,Earth,False,F,59.0,P,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,False
249,Europa,True,D,9.0,S,55 Cancri e,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,True
